Shirt Name,Shirt Price,Original Shirt Price,Promotion,Link,Weave
Easy-to-Iron Muave Chambray,$69.99,$69.99,False,http://custom.luxire.com/collections/dress-shirts/products/muave-chambray-eta,chambray
Light Grey End-on-End 40s                      (Sold Out),$59.99,$59.99,False,http://custom.luxire.com/collections/dress-shirts/products/light-grey-end-on-end,end-on-end
Pink Pinpoint Oxford,$69.99,$69.99,False,http://custom.luxire.com/collections/dress-shirts/products/pink-royal-oxford,oxford
Maroon Gingham Flannel                      (Sold Out),$89.99,$89.99,False,http://custom.luxire.com/collections/dress-shirts/products/maroon-gingham-flannel,Unknown
Blue Almost Invisible Stripes,$89.99,$89.99,False,http://custom.luxire.com/collections/dress-shirts/products/blue-almost-invisible-stripes,Unknown
Alumo White Pencil Stripes on Light Blue,$119.99,$119.99,False,http://custom.luxire.com/collections/dress-shirts/products/alumo-white-pencil-stripes-on-light-blue,Unknown
Monti ICE: Pale Blue Pinstripes on White,$99.99,$99.99,False,http://custom.luxire.com/collections/dress-shirts/products/monti-pale-blue-pinstripe-ice,Unknown
Pale Blue Dress Stripes On White                      (Sold Out),$79.99,$79.99,False,http://custom.luxire.com/collections/dress-shirts/products/pale-blue-dress-stripes-on-white,Unknown
Soft Cream Cool Linen Cotton,$89.99,$89.99,False,http://custom.luxire.com/collections/dress-shirts/products/soft-cream-cool-linen-cotton,linen
Pale Blue Dress Stripes Oxford                      (Sold Out),$89.99,$89.99,False,http://custom.luxire.com/collections/dress-shirts/products/pale_blue_dress_stripes_oxford,oxford
Business Shirt-Blue Poplin,$69.99,$69.99,False,http://custom.luxire.com/collections/dress-shirts/products/business_shirt_blue_popelin_100-2,poplin
Classic Black Oxford,$79.99,$79.99,False,http://custom.luxire.com/collections/dress-shirts/products/classic-black-oxford,oxford
Blue Tape Stripes Linen,$99.99,$99.99,False,http://custom.luxire.com/collections/dress-shirts/products/blue-tape-stripes-linen,linen
White Grey Plaid Flannel                      (Sold Out),$59.99,$59.99,False,http://custom.luxire.com/collections/dress-shirts/products/white-grey-plaid-flannel,Unknown
Blue Broadcloth 100/2,$69.99,$69.99,False,http://custom.luxire.com/collections/dress-shirts/products/blue-broadcloth-100-2,Unknown
